@id;@lon;@lat;id_node;distance_node;bBox;name;alt_name;short_name;name:fr;local_name;official_name;old_name;amenity;landuse;leisure;office;school:FR;shop
1000000074966367;0.7267427;47.3891321;19758;0.00023659404049842904;0.7265939,47.3890177,0.7268916,47.3892465;Le Skippy;;;Le Skippy;;;;restaurant;;;;;
1000000074967798;0.7223416;47.3947461;4656;0.00026768354450783976;0.7221497,47.3946616,0.7225336,47.3948306;Maison de l'Aubrière;;;;;;;community_centre;;;;;
1000000074968798;0.7268686;47.3940214;15592;0.00026047581461660597;0.7267064,47.3938785,0.7270308,47.3941643;Résidence La Diablerie;;;;;;;social_facility;;;;;
1000000074969578;0.7262597;47.3904355;1119;0.00010332594059988187;0.7261956,47.3903657,0.7263238,47.3905053;;;;;;;;;;;;;hairdresser
1000000074970355;0.7185941;47.3880547;42918;0.0003375213919198097;0.7185366,47.3880110,0.7186516,47.3880985;Clinique vétérinaire Gabriel;;;;;;;veterinary;;;;;
1000000074971487;0.7194730;47.3901987;21176;0.0005770832608901387;0.7191123,47.3898785,0.7198339,47.3905189;Salle des Fêtes;;;;;;;community_centre;;;;;
1000000074971827;0.7165230;47.3895108;28544;8.485546535616837e-05;0.7164550,47.3894666,0.7165911,47.3895551;Tête en l'air;;;;;;;;;;;;hairdresser
1000000075321337;0.7169917;47.3705517;19439;0.0003014055739367597;0.7168416,47.3704776,0.7171418,47.3706258;AIMT 37;;;;;;;doctors;;;;;
1000000075321507;0.7343900;47.3571649;32115;0.00030053760164014734;0.7342512,47.3570841,0.7345289,47.3572458;Crédit Agricole;;;;;;;bank;;;;;
1000000075321564;0.7220882;47.3532884;41536;0.0006189856541168352;0.7215884,47.3528273,0.7225880,47.3537496;Collège Jules Romains;;;;;;;school;;;;collège;
1000000075322060;0.7275510;47.3681958;32641;0.00021974605798383924;0.7274076,47.3680916,0.7276945,47.3683001;Saint-Avertin;;;;;;;post_office;;;;;
1000000075323030;0.7258828;47.3668747;32630;0.0002091904873526943;0.7256954,47.3667528,0.7260702,47.3669966;Salle des Fêtes;;;;;;;community_centre;;;;;
1000000075324000;0.7368293;47.3411611;27519;0.0003295381009842151;0.7363576,47.3407753,0.7373011,47.3415469;Auchan;;;;;;;;;;;;supermarket
1000000075325526;0.7356052;47.3413182;3277;0.00039610273919690525;0.7353638,47.3411928,0.7358466,47.3414436;La Corbeille fruit et légumes;;;;;;;;;;;;greengrocer
1000000075326381;0.7115599;47.3521445;26471;0.0008243000545896637;0.7108869,47.3515627,0.7122331,47.3527264;T23 - Centre Psychothérapique de Tours Sud (CHU);;;;;;;hospital;;;;;
1000000075327441;0.7162865;47.3707207;19441;0.0003934268165732578;0.7161374,47.3706158,0.7164357,47.3708256;AXA;;;;;;;bank;;;;;
1000000075327589;0.7324670;47.3437394;15568;0.0006498481361063711;0.7317896,47.3433141,0.7331444,47.3441648;Cedeo;;;;;;;;;;;;doityourself
1000000075328041;0.7201126;47.3662570;39090;0.000345557086454952;0.7199682,47.3660839,0.7202570,47.3664302;WOK ASIE;;;;;;;restaurant;;;;;
1000000075329542;0.7193706;47.3661148;23417;0.00037738157083093063;0.7190303,47.3658967,0.7197110,47.3663329;Lidl;;;;;;;;;;;;supermarket
1000000075330596;0.7352610;47.3573387;37419;0.000500858862355399;0.7351233,47.3572577,0.7353989,47.3574197;CIC;;;;;;;bank;;;;;
1000000075331573;0.7364215;47.3576193;37421;0.0001306854620789589;0.7363142,47.3575550,0.7365289,47.3576836;Raimond & Franquet;;;;;;;dentist;;;;;
1000000075339052;0.7356353;47.3573399;7454;0.0005799021382957745;0.7355121,47.3572450,0.7357586,47.3574349;Pharmacie des Pierres Plates;Pharmacie Damiet-Chante;;;;;;pharmacy;;;;;
1000000075339261;0.7217277;47.3698682;11474;0.0008307154145678742;0.7216503,47.3697862,0.7218052,47.3699503;Moka;;;;;;;restaurant;;;;;deco
1000000075339743;0.7241132;47.3550985;27354;0.00016336615316136737;0.7239860,47.3550190,0.7242404,47.3551781;Cabinet Médical des Grands Champs;;;;;;;doctors;;;;;
1000000075342764;0.7213260;47.3676584;12745;0.00038410566254981214;0.7211020,47.3675665,0.7215501,47.3677504;Clinique Vétérinaire de Saint-Avertin;;;;;;;veterinary;;;;;
1000000075343059;0.7266324;47.3671224;21435;0.00011798660940785554;0.7265854,47.3670942,0.7266794,47.3671506;Atol;;;;;;;;;;;;optician
1000000075434094;0.7781081;47.3683472;11411;0.0017909562948310149;0.7779708,47.3682327,0.7782454,47.3684617;;;;;;;;townhall;;;;;
1000000075439941;0.5235950;47.3634663;39948;0.00047283249676772566;0.5234089,47.3634108,0.5237812,47.3635219;Le Bout du Monde;;;;;;;restaurant;;;;;
1000000075440366;0.5259745;47.3634164;39918;0.0003003917775160431;0.5258581,47.3633657,0.5260910,47.3634672;Mairie;;;;;;;townhall;;;;;
1000000075467962;0.5472640;47.3479485;31115;0.0002580411788811382;0.5471888,47.3478741,0.5473392,47.3480229;Savonnières;;;;;;;post_office;;;;;
1000000075468104;0.5416073;47.3472721;17790;0.0004939981578903828;0.5414715,47.3471875,0.5417433,47.3473568;La Maison Tourangelle;;;;;;;restaurant;;;;;
1000000075468733;0.5483990;47.3479629;42531;0.00018369684265282136;0.5481596,47.3478758,0.5486385,47.3480501;;;;;;;;townhall;;;;;
1000000075469087;0.5593272;47.3498750;23813;0.00014095080702594223;0.5592635,47.3498272,0.5593910,47.3499229;Cabinet Vétérinaire Lieurey Thierry;;;;;;;veterinary;;;;;
1000000075469591;0.5432627;47.3475881;41322;0.0002103240594858193;0.5431929,47.3475055,0.5433327,47.3476707;Café Restaurant L’Auberge du Pont;;;;;;;restaurant;;;;;
1000000075470331;0.5897412;47.3555720;25801;0.0005257957778435164;0.5895808,47.3554498,0.5899016,47.3556942;;;;;;;;restaurant;;;;;
1000000075651529;0.5377073;47.3067052;41026;0.00025421536145746874;0.5373874,47.3065596,0.5380273,47.3068508;Lamaison.fr;;;;;;;;;;;;garden_centre
1000000075651907;0.5371105;47.3076205;30468;0.00032198976691718797;0.5368451,47.3074353,0.5373761,47.3078057;Mairie;;;;;;;townhall;;;;;
1000000075652424;0.5345543;47.3060143;11547;0.0003707424982388427;0.5340635,47.3058667,0.5350453,47.3061620;Marché Perrochon;;;;;;;marketplace;;;;;
1000000075652442;0.5367543;47.3074679;36318;0.00042628143285895396;0.5364570,47.3072772,0.5370517,47.3076586;École primaire;;;;;;;school;;;;élémentaire;
