nodes;coordX;coordY
373;0.6977977;47.3827234
374;0.6982034;47.3829009
375;0.71271;47.3725969
376;0.6694998;47.3517016
377;0.6911053;47.3392055
378;0.6726208;47.3506459
379;0.6769786;47.3703394
380;0.6721155;47.3497232
381;0.6718548;47.3493646
382;0.6718526;47.3494624
383;0.6718877;47.349669
384;0.6719417;47.3500335
385;0.6967213;47.3595882
386;0.6589564;47.3363993
387;0.657419;47.3362708
388;0.673013;47.3491323
389;0.6911175;47.3392809
390;0.712344;47.3725654
391;0.6596353;47.3337296
392;0.6706934;47.3498606
393;0.6771771;47.37056
394;0.6613653;47.334214
395;0.6608939;47.3342217
396;0.6914558;47.3377675
397;0.6811006;47.3679444
398;0.6921875;47.3397099
399;0.6777337;47.4243771
400;0.7119748;47.3578586
401;0.6742047;47.4278002
402;0.5376856;47.3272359
403;0.5170771;47.3392266
404;0.6012183;47.3256096
405;0.7130063;47.3575178
406;0.6013574;47.3258824
407;0.5166425;47.3389501
408;0.5150091;47.3406079
409;0.5156112;47.3404488
410;0.6862959;47.3520423
411;0.6862181;47.3520771
412;0.685133;47.3536756
413;0.5399991;47.3362015
414;0.7200209;47.4998081
415;0.7089159;47.5053432
416;0.7061745;47.3404073
417;0.706714;47.3963786
418;0.7059561;47.3404396
419;0.7060375;47.3407301
420;0.7047062;47.3405546
421;0.4788803;47.3966325
422;0.5227573;47.3618891
423;0.526976;47.3637336
424;0.7038051;47.3406073
425;0.7040362;47.3405974
426;0.5235597;47.3619144
427;0.6392273;47.3454044
428;0.7042644;47.3405875
429;0.7044897;47.3405778
430;0.5983762;47.3139542
431;0.7389453;47.4106238
432;0.5992148;47.3159728
433;0.5367538;47.3647033
434;0.6497053;47.3860857
435;0.5997175;47.3155443
436;0.5333833;47.3657336
437;0.7404095;47.4125705
438;0.6510922;47.3862555
439;0.5787081;47.3858324
440;0.6510083;47.3862669
441;0.5980563;47.3135248
442;0.6508231;47.3862903
443;0.5458648;47.3661284
444;0.5785727;47.3866457
445;0.5981352;47.3139608
446;0.6741404;47.4239175
447;0.5994081;47.3160784
448;0.5982601;47.3141531
449;0.5998939;47.3156372
450;0.5898015;47.3870564
451;0.5785639;47.3866984
452;0.6511846;47.3863747
453;0.6507049;47.3864371
454;0.5897389;47.3875948
455;0.5897308;47.3876647
456;0.5300029;47.3619618
457;0.5360949;47.3652276
458;0.7412593;47.4211134
459;0.745101;47.4232112
460;0.7442322;47.4227948
461;0.7040732;47.3744012
462;0.5677161;47.443173
463;0.7535882;47.4271348
464;0.6728778;47.368242
465;0.6728783;47.368028
466;0.5363698;47.3645343
467;0.5847038;47.3892103
468;0.57248;47.3899249
469;0.584544;47.3895412
470;0.673029;47.3669381
471;0.5750979;47.3895153
472;0.6760138;47.3943157
473;0.6759646;47.3943001
474;0.6759573;47.3942682
475;0.6759772;47.3942342
476;0.5745021;47.390051
477;0.6760703;47.3942286
478;0.6760086;47.3942172
479;0.5770566;47.3903151
480;0.5826864;47.3909549
481;0.5763027;47.3073559
482;0.6874699;47.48039
483;0.6977351;47.337826
