idcar_200m;i_est_200;lcog_geo;noeud_delegue;lon_mid;lat_mid;ind;men;men_pauv;men_1ind;men_5ind;men_prop;men_fmp;ind_snv;men_surf;men_coll;men_mais;log_av45;log_45_70;log_70_90;log_ap90;log_inc;log_soc;ind_0_3;ind_4_5;ind_6_10;ind_11_17;ind_18_24;ind_25_39;ind_40_54;ind_55_64;ind_65_79;ind_80p;ind_inc
CRS3035RES200mN2728200E3601600;1;37067;-1;0.47512606;47.25127;7;3.2;0.4;1.2;0.2;2.5;0.2;154752.5;296;0.5;2.7;1.4;0.6;0.7;0.5;0;0;0.4;0.1;0.1;0.4;0.8;1.3;1.1;1.3;1.2;0.3;0
CRS3035RES200mN2728200E3604400;1;3701437205;-1;0.51184636;47.254498;2;1;0.2;0.4;0;0.8;0.1;49900.2;109.8;0.1;0.9;0.7;0;0;0.3;0;0;0;0;0;0.1;0.2;0.3;0.4;0.5;0.2;0.3;0
CRS3035RES200mN2728200E3604600;1;3701437205;-1;0.5144694;47.254726;6;3;0.8;1;0;2.4;0.3;149700.6;329.2;0.3;2.7;2.1;0;0.1;0.8;0;0;0.1;0;0.2;0.3;0.5;0.9;1.3;1.3;0.5;0.9;0
CRS3035RES200mN2728200E3604800;1;3701437205;-1;0.51709247;47.254955;5;2.5;0.6;0.9;0;2;0.2;124750.5;274.4;0.2;2.3;1.8;0;0.1;0.6;0;0;0.1;0;0.1;0.2;0.4;0.8;1.1;1.1;0.4;0.8;0
CRS3035RES200mN2728200E3605000;1;37014;-1;0.51971555;47.255188;10;5;1.2;1.8;0;4;0.5;249501;548.8;0.5;4.5;3.5;0;0.2;1.3;0;0;0.2;0;0.2;0.5;0.7;1.5;2.3;2.3;0.8;1.5;0
CRS3035RES200mN2728200E3605400;1;37014;-1;0.52496177;47.255646;5;2.5;0.6;0.9;0;2;0.2;124750.5;274.4;0.2;2.3;1.8;0;0.1;0.6;0;0;0.1;0;0.1;0.2;0.4;0.8;1.1;1.1;0.4;0.8;0
CRS3035RES200mN2728200E3606200;1;3720537014;-1;0.53545445;47.256565;5;2.2;0.2;0.6;0.1;1.7;0;147014.7;218.8;0;2.2;0.6;0.3;0.4;0.9;0;0;0.2;0;0.1;0.3;0.4;0.8;0.7;0.8;1.1;0.6;0
CRS3035RES200mN2728200E3606400;1;37205;-1;0.53807765;47.256794;6;2.7;0.2;0.7;0.1;2.1;0;176417.7;262.5;0;2.7;0.7;0.3;0.5;1.2;0;0;0.2;0;0.1;0.4;0.5;1;0.8;0.9;1.4;0.7;0
CRS3035RES200mN2728200E3606600;1;37205;-1;0.5407009;47.257023;3;1.3;0.1;0.3;0.1;1;0;88208.8;131.2;0;1.3;0.3;0.2;0.2;0.6;0;0;0.1;0;0.1;0.2;0.2;0.5;0.4;0.5;0.7;0.3;0
CRS3035RES200mN2728200E3607000;1;37205;-1;0.5459475;47.257484;1;0.6;0.1;0.2;0;0.4;0.1;25222.7;58.5;0;0.6;0.4;0;0.1;0.1;0;0;0;0;0;0;0;0.2;0.3;0.2;0.2;0.1;0
CRS3035RES200mN2728200E3607200;1;37205;-1;0.5485708;47.257713;20;11.1;1.6;4.7;0;8.9;1.1;504453.9;1169.5;0;11.1;7.4;0.5;1.1;2.1;0;0;1;0;1;0.5;0.5;3.2;5.3;3.2;4.2;1.1;0
CRS3035RES200mN2728200E3607400;1;37205;-1;0.55119413;47.257942;3;1.7;0.2;0.7;0;1.3;0.2;75668.1;175.4;0;1.7;1.1;0.1;0.2;0.3;0;0;0.1;0;0.1;0.1;0.1;0.5;0.8;0.5;0.6;0.2;0
CRS3035RES200mN2728200E3608800;0;3718637205;-1;0.569558;47.259544;47.5;18;1;3;3;17;2;1227004.7;1652;0;18;2;1;5;10;0;0;1;3;3;8.5;1;10;10;2;4;5;0
