idcar_200m;i_est_200;lcog_geo;noeud_delegue;lon_mid;lat_mid;ind;men;men_pauv;men_1ind;men_5ind;men_prop;men_fmp;ind_snv;men_surf;men_coll;men_mais;log_av45;log_45_70;log_70_90;log_ap90;log_inc;log_soc;ind_0_3;ind_4_5;ind_6_10;ind_11_17;ind_18_24;ind_25_39;ind_40_54;ind_55_64;ind_65_79;ind_80p;ind_inc
CRS3035RES200mN2728200E3620400;1;3726637154;792;0.7217551;47.272705;3;1.1;0;0.2;0.1;0.9;0.1;84970.1;123.3;0;1.1;0.2;0.1;0.5;0.3;0;0;0.2;0;0.1;0.3;0.3;0.4;0.7;0.5;0.4;0.1;0
CRS3035RES200mN2728200E3621400;0;37266;882;0.7348788;47.27383;46;15;1;0;2;10;0;1297480.7;1724;0;15;5;0;0;10;0;0;4;0;2;6;3;9;12;5;5;0;0
CRS3035RES200mN2728200E3621600;0;37266;525;0.7375036;47.274055;29;11;0;1;1;11;0;879489.3;1202;0;11;0;0;4;7;0;0;1;0;4;3;0;6;7;2;6;0;0
CRS3035RES200mN2728200E3623000;1;37266;927;0.7558778;47.275623;2;0.7;0;0.1;0.1;0.6;0;50113;65.8;0;0.7;0.1;0;0.4;0.2;0;0;0.1;0;0.2;0.1;0.1;0.3;0.6;0.2;0.3;0.1;0
CRS3035RES200mN2728200E3624600;1;37104;930;0.77687806;47.277416;12;5.4;0;1.3;0.4;5.4;0.7;349057.1;670.7;0;5.4;1.5;0.4;2.4;1.1;0;0;0.2;0;0.5;0.6;0.6;2;2.2;3;2.2;0.7;0
CRS3035RES200mN2728200E3624800;0;37104;954;0.77950317;47.27764;46;17;2;4;1;17;0;1269936.2;2016;0;17;1;4;2;10;0;0;2;0;6;7;1;10;8;9;3;0;0
CRS3035RES200mN2728200E3625000;1;37104;114;0.78212833;47.277863;4;1.5;0.1;0.2;0.2;1.3;0.1;104558.6;195.9;0;1.5;0.7;0.2;0.4;0.2;0;0;0.1;0;0.2;0.5;0.4;0.4;0.9;0.5;0.7;0.3;0
CRS3035RES200mN2728200E3625200;1;37104;507;0.7847535;47.278088;29;10.9;0.5;1.7;1.2;9.4;0.7;758049.7;1420;0;10.9;5.3;1.2;2.9;1.5;0;0;1;0.2;1.5;3.1;2.9;2.9;6.5;3.4;5.1;2.4;0
CRS3035RES200mN2728200E3625400;1;37104;476;0.78737867;47.278313;24;9;0.4;1.4;1;7.8;0.6;627351.5;1175.2;0;9;4.4;1;2.4;1.2;0;0;0.8;0.2;1.2;2.6;2.4;2.4;5.4;2.8;4.2;2;0
CRS3035RES200mN2728200E3626400;0;37104;579;0.8005049;47.279427;28;13;2;5;0;13;0;849564;1287;0;13;0;0;13;0;0;0;2;0;1;2;1;3;4;5;7;3;0
