start_node;end_node;distance;danger;converted;cyclability;section_id;way_id;is_following_way;facility;road_type;is_DSC;nodes;geometry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1035649492;1035649559;8.4630602045;8.4630602045;True;4;115563673;89234341;False;piste;uni;cycleway;False;[1035649492;;1035649559];[(0.6794468;;47.418946);;(0.6794314;;47.4188706)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1421786282;2881349613;47.6282717338;69.060994014;False;1;115567815;128732227;False;piste;trottoir;uni;footway;False;[1421786282;;1035649330;;1035649237;;4615116156;;1035649494;;1035649418;;2881349613];[(0.6841678;;47.4184677);;(0.6842426;;47.4184507);;(0.6843989;;47.4184298);;(0.68443;;47.4184292);;(0.6845382;;47.4184269);;(0.6847001;;47.4184307);;(0.6847908;;47.4184395)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2739177983;475987406;14.2286323195;16.3629271674;False;3;115567832;128733226;False;;residential;False;[2739177983;;475987406];[(0.6838035;;47.418353);;(0.6838566;;47.4184758)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1035649514;2881349632;40.2931414189;40.2931414189;True;4;115567833;128733227;False;piste;uni;cycleway;False;[1035649514;;1035649381;;1035649470;;1035649196;;2881349632];[(0.6842258;;47.4185852);;(0.684337;;47.4185626);;(0.6845614;;47.4185683);;(0.6846953;;47.4185736);;(0.6847537;;47.4185802)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2881349632;1035649300;7.4192569279;7.4192569279;True;4;115567834;128733227;False;piste;uni;cycleway;False;[2881349632;;1035649300];[(0.6847537;;47.4185802);;(0.6848507;;47.4185911)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1035649245;3106503809;57.195607562;57.195607562;True;4;115567844;128733229;False;piste;uni;cycleway;False;[1035649245;;1035649350;;3106503809];[(0.6834083;;47.4186431);;(0.683104;;47.4186869);;(0.6826697;;47.4187584)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3106503809;6304483485;10.8694304986;10.8694304986;True;4;115567845;128733229;False;piste;uni;cycleway;False;[3106503809;;6304483485];[(0.6826697;;47.4187584);;(0.6825297;;47.4187814)];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6304483485;1035649398;85.2784790767;85.2784790767;True;4;115567846;128733229;False;piste;uni;cycleway;False;[6304483485;;1035649199;;1035649302;;1035649599;;5546252276;;1035649035;;1035649552;;1035649660;;1035649398];[(0.6825297;;47.4187814);;(0.6823637;;47.4188088);;(0.6822061;;47.4188326);;(0.6820787;;47.4188431);;(0.6820143;;47.4188452);;(0.6819334;;47.4188466);;(0.6818204;;47.4188412);;(0.6815713;;47.4188269);;(0.6814139;;47.4188045)];;;;;;;;;;;;;;;;;;
1035649398;1035649559;150.1401493354;150.1401493354;True;4;115567847;128733229;False;piste;uni;cycleway;False;[1035649398;;1035649569;;1035649685;;1035649406;;1035649489;;1035649360;;1035649447;;1035649160;;1035649268;;1035649559];[(0.6814139;;47.4188045);;(0.6811308;;47.4188069);;(0.6808169;;47.4187936);;(0.6806508;;47.4187898);;(0.6804622;;47.4187983);;(0.6802609;;47.4188164);;(0.6798514;;47.4188488);;(0.6796628;;47.4188602);;(0.6795375;;47.4188622);;(0.6794314;;47.4188706)];;;;;;;;;;;;
1035649559;4952439103;126.790905146;126.790905146;True;4;115567848;128733229;False;piste;uni;cycleway;False;[1035649559;;1035649066;;1035649210;;1035649521;;1035649618;;1035649487;;1035649564;;1035649310;;4952439103];[(0.6794314;;47.4188706);;(0.6793588;;47.4188764);;(0.6791533;;47.4189002);;(0.6789379;;47.4189212);;(0.6786269;;47.418946);;(0.6783187;;47.4189669);;(0.6781033;;47.4189679);;(0.6779063;;47.4189564);;(0.6777623;;47.4189445)];;;;;;;;;;;;;;;;;;
