;geometry
980;0.6039497;47.4050439
981;0.6029918;47.4084355
982;0.5992461;47.3972992
983;0.5909066;47.3898309
984;0.5986355;47.3963393
985;0.6067496;47.4062684
986;0.5987594;47.3966915
987;0.606878;47.4058071
988;0.6124551;47.4088612
989;0.6080742;47.4039618
990;0.6112829;47.4092247
991;0.6007686;47.4034431
992;0.5812104;47.3963834
993;0.5971682;47.4068983
994;0.6007317;47.4002792
995;0.5877924;47.4014584
996;0.6010029;47.3998249
997;0.5874172;47.39785
998;0.5845871;47.4002354
999;0.6057067;47.400398
